MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIPN
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIPT1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIPT2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LITAF
NA	NA	NA	NA	NA	NA	NA	NA	NA	LIX1
1.51492975546723	0.001	NA	NA	NA	NA	0	0.988700564971751	NA	LIX1L
NA	NA	NA	NA	NA	NA	NA	NA	NA	LLGL1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LLGL2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LLPH
NA	NA	NA	NA	NA	NA	NA	NA	NA	LMAN1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LMAN1L
NA	NA	NA	NA	NA	NA	NA	NA	NA	LMAN2
0.546200987636058	0.004	NA	NA	NA	NA	0	0.0395480225988701	NA	LMAN2L
NA	NA	NA	NA	NA	NA	NA	NA	NA	LMBR1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LMBR1L
NA	NA	NA	NA	NA	NA	NA	NA	NA	LMBRD1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LMBRD2
NA	NA	NA	NA	NA	NA	NA	NA	NA	LMCD1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LMF1
